./Vasu/LLM/S20/train_get2.py:372: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  norm = torch.nn.utils.clip_grad_norm(model.parameters(), 1.0)
using device: cuda
loaded 338025 tokens
1 epoch = 41 batches
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: True
step61 | loss: 5.849954605102539 | dt: 3028.83ms | tok/sec:  2704.68 | norm: 1.44
step62 | loss: 5.727575302124023 | dt: 3031.62ms | tok/sec:  2702.19 | norm: 1.40
step63 | loss: 5.9073967933654785 | dt: 3026.40ms | tok/sec:  2706.85 | norm: 1.00
step64 | loss: 5.699002742767334 | dt: 3030.13ms | tok/sec:  2703.52 | norm: 1.03
step65 | loss: 5.691734790802002 | dt: 3034.25ms | tok/sec:  2699.84 | norm: 1.06
step66 | loss: 5.776220321655273 | dt: 3042.02ms | tok/sec:  2692.95 | norm: 1.28
step67 | loss: 6.104913711547852 | dt: 3046.77ms | tok/sec:  2688.75 | norm: 1.24
step68 | loss: 5.945662975311279 | dt: 3026.90ms | tok/sec:  2706.40 | norm: 1.22
step69 | loss: 6.219861030578613 | dt: 3029.52ms | tok/sec:  2704.06 | norm: 1.10
step70 | loss: 5.949474334716797 | dt: 3037.10ms | tok/sec:  2697.31 | norm: 1.20
step71 | loss: 5.907747745513916 | dt: 3043.61ms | tok/sec:  2691.54 | norm: 1.10
step72 | loss: 5.810711860656738 | dt: 3044.41ms | tok/sec:  2690.84 | norm: 1.19
step73 | loss: 5.671387672424316 | dt: 3039.12ms | tok/sec:  2695.52 | norm: 1.20
step74 | loss: 5.887639045715332 | dt: 3031.96ms | tok/sec:  2701.88 | norm: 1.37
step75 | loss: 5.7474045753479 | dt: 3039.94ms | tok/sec:  2694.79 | norm: 1.26
step76 | loss: 5.745566368103027 | dt: 3042.81ms | tok/sec:  2692.25 | norm: 0.99
step77 | loss: 5.696535110473633 | dt: 3038.34ms | tok/sec:  2696.21 | norm: 1.14
step78 | loss: 5.7185468673706055 | dt: 3049.17ms | tok/sec:  2686.63 | norm: 1.06
step79 | loss: 5.472208023071289 | dt: 3053.99ms | tok/sec:  2682.39 | norm: 0.98
step80 | loss: 5.404971122741699 | dt: 3044.90ms | tok/sec:  2690.40 | norm: 1.11
step81 | loss: 5.943292617797852 | dt: 3037.44ms | tok/sec:  2697.01 | norm: 1.59
step82 | loss: 5.8719801902771 | dt: 3051.04ms | tok/sec:  2684.98 | norm: 1.38
step83 | loss: 5.924244403839111 | dt: 3043.00ms | tok/sec:  2692.08 | norm: 1.40
step84 | loss: 5.6520490646362305 | dt: 3044.08ms | tok/sec:  2691.12 | norm: 1.41
step85 | loss: 5.536631107330322 | dt: 3041.74ms | tok/sec:  2693.19 | norm: 1.19
step86 | loss: 5.542905807495117 | dt: 3045.32ms | tok/sec:  2690.03 | norm: 1.20
step87 | loss: 5.672484874725342 | dt: 3047.63ms | tok/sec:  2687.99 | norm: 1.06
step88 | loss: 5.711846828460693 | dt: 3049.06ms | tok/sec:  2686.73 | norm: 1.35
step89 | loss: 5.6278486251831055 | dt: 3051.12ms | tok/sec:  2684.91 | norm: 1.21
step90 | loss: 5.3955488204956055 | dt: 3051.22ms | tok/sec:  2684.83 | norm: 1.27
step91 | loss: 5.6025872230529785 | dt: 3049.58ms | tok/sec:  2686.28 | norm: 1.30
step92 | loss: 5.697719573974609 | dt: 3047.96ms | tok/sec:  2687.70 | norm: 1.38
step93 | loss: 5.813024997711182 | dt: 3038.58ms | tok/sec:  2695.99 | norm: 0.87
step94 | loss: 5.883950233459473 | dt: 3038.75ms | tok/sec:  2695.84 | norm: 1.06
step95 | loss: 5.733386993408203 | dt: 3057.83ms | tok/sec:  2679.02 | norm: 0.93
step96 | loss: 5.704159259796143 | dt: 3049.15ms | tok/sec:  2686.65 | norm: 0.87
step97 | loss: 5.5307416915893555 | dt: 3058.98ms | tok/sec:  2678.02 | norm: 0.94
step98 | loss: 5.594274520874023 | dt: 3056.69ms | tok/sec:  2680.03 | norm: 0.92
step99 | loss: 5.687274932861328 | dt: 3050.41ms | tok/sec:  2685.54 | norm: 0.89
step100 | loss: 5.590977191925049 | dt: 3047.38ms | tok/sec:  2688.21 | norm: 0.91
step101 | loss: 5.422330379486084 | dt: 3030.75ms | tok/sec:  2702.96 | norm: 0.87
step102 | loss: 5.562904357910156 | dt: 3036.19ms | tok/sec:  2698.12 | norm: 0.94
step103 | loss: 5.363256454467773 | dt: 3046.07ms | tok/sec:  2689.37 | norm: 0.85
step104 | loss: 5.587507724761963 | dt: 3047.83ms | tok/sec:  2687.81 | norm: 0.85
step105 | loss: 5.3394927978515625 | dt: 3056.13ms | tok/sec:  2680.51 | norm: 0.90
step106 | loss: 5.329980373382568 | dt: 3046.77ms | tok/sec:  2688.75 | norm: 0.85
step107 | loss: 5.385422706604004 | dt: 3087.91ms | tok/sec:  2652.93 | norm: 0.75
step108 | loss: 5.716151714324951 | dt: 3052.30ms | tok/sec:  2683.88 | norm: 1.27
step109 | loss: 5.597291469573975 | dt: 3054.53ms | tok/sec:  2681.92 | norm: 1.15
step110 | loss: 5.913259983062744 | dt: 3054.60ms | tok/sec:  2681.86 | norm: 1.11
step111 | loss: 5.576705455780029 | dt: 3052.42ms | tok/sec:  2683.78 | norm: 1.25
step112 | loss: 5.557159900665283 | dt: 3050.05ms | tok/sec:  2685.86 | norm: 1.15
step113 | loss: 5.432182312011719 | dt: 3053.83ms | tok/sec:  2682.54 | norm: 1.26
step114 | loss: 5.346100330352783 | dt: 3053.69ms | tok/sec:  2682.65 | norm: 1.38
step115 | loss: 5.508605003356934 | dt: 3057.21ms | tok/sec:  2679.57 | norm: 1.37
step116 | loss: 5.348223686218262 | dt: 3056.08ms | tok/sec:  2680.56 | norm: 1.16
step117 | loss: 5.404308795928955 | dt: 3051.60ms | tok/sec:  2684.49 | norm: 0.86
step118 | loss: 5.343037128448486 | dt: 3057.17ms | tok/sec:  2679.60 | norm: 1.10
step119 | loss: 5.339648246765137 | dt: 3050.91ms | tok/sec:  2685.10 | norm: 0.92
step120 | loss: 5.1135172843933105 | dt: 3055.90ms | tok/sec:  2680.71 | norm: 0.84
step121 | loss: 5.034635543823242 | dt: 3058.77ms | tok/sec:  2678.20 | norm: 1.04
step122 | loss: 5.670184135437012 | dt: 3063.79ms | tok/sec:  2673.82 | norm: 1.34
step123 | loss: 5.57142972946167 | dt: 3063.24ms | tok/sec:  2674.29 | norm: 1.13
step124 | loss: 5.609897136688232 | dt: 3058.75ms | tok/sec:  2678.22 | norm: 1.28
step125 | loss: 5.268272399902344 | dt: 3052.52ms | tok/sec:  2683.69 | norm: 1.39
step126 | loss: 5.174343109130859 | dt: 3050.04ms | tok/sec:  2685.87 | norm: 1.05
step127 | loss: 5.240011215209961 | dt: 3057.17ms | tok/sec:  2679.60 | norm: 0.89
step128 | loss: 5.388705253601074 | dt: 3054.50ms | tok/sec:  2681.95 | norm: 0.83
step129 | loss: 5.396909236907959 | dt: 3059.64ms | tok/sec:  2677.44 | norm: 1.22
step130 | loss: 5.3321213722229 | dt: 3058.89ms | tok/sec:  2678.09 | norm: 1.11
step131 | loss: 5.110086441040039 | dt: 3058.41ms | tok/sec:  2678.51 | norm: 1.14
step132 | loss: 5.300285816192627 | dt: 3061.45ms | tok/sec:  2675.86 | norm: 1.04
step133 | loss: 5.302967548370361 | dt: 3059.92ms | tok/sec:  2677.20 | norm: 1.16
step134 | loss: 5.486591339111328 | dt: 3055.77ms | tok/sec:  2680.83 | norm: 0.86
step135 | loss: 5.57470703125 | dt: 3059.64ms | tok/sec:  2677.44 | norm: 0.94
step136 | loss: 5.423966884613037 | dt: 3070.38ms | tok/sec:  2668.07 | norm: 0.99
step137 | loss: 5.398240566253662 | dt: 3061.03ms | tok/sec:  2676.22 | norm: 0.91
step138 | loss: 5.203339576721191 | dt: 3059.47ms | tok/sec:  2677.59 | norm: 0.88
step139 | loss: 5.295742988586426 | dt: 3063.65ms | tok/sec:  2673.94 | norm: 0.87
step140 | loss: 5.3998799324035645 | dt: 3064.63ms | tok/sec:  2673.08 | norm: 0.94
step141 | loss: 5.327651500701904 | dt: 3051.82ms | tok/sec:  2684.30 | norm: 0.90
step142 | loss: 5.145074367523193 | dt: 3053.54ms | tok/sec:  2682.79 | norm: 0.92
step143 | loss: 5.271568298339844 | dt: 3055.02ms | tok/sec:  2681.49 | norm: 0.83
step144 | loss: 5.076532363891602 | dt: 3059.39ms | tok/sec:  2677.66 | norm: 0.80
step145 | loss: 5.315023899078369 | dt: 3061.95ms | tok/sec:  2675.42 | norm: 0.78
step146 | loss: 5.082770347595215 | dt: 3052.86ms | tok/sec:  2683.39 | norm: 0.85
step147 | loss: 5.0921406745910645 | dt: 3063.76ms | tok/sec:  2673.84 | norm: 0.82
step148 | loss: 5.11140775680542 | dt: 3064.78ms | tok/sec:  2672.95 | norm: 0.77
step149 | loss: 5.480266094207764 | dt: 3067.39ms | tok/sec:  2670.68 | norm: 1.09
step150 | loss: 5.35270881652832 | dt: 3066.08ms | tok/sec:  2671.81 | norm: 1.00
step151 | loss: 5.703883171081543 | dt: 3057.08ms | tok/sec:  2679.68 | norm: 1.00
step152 | loss: 5.34906530380249 | dt: 3062.19ms | tok/sec:  2675.21 | norm: 0.98
