               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.76398,             0.62112,              1.2022,             0.91015,             0.92537,             0.96036,             0.73915,             0.70557,             0.67203,              1.1712,           0.0082675,           0.0082675,           0.0082675
                  37,             0.73151,             0.62961,              1.1976,             0.96829,             0.91142,              0.9727,             0.73959,             0.84289,             0.88952,              1.3038,            0.008218,            0.008218,            0.008218
                  38,             0.72919,             0.60121,              1.1949,             0.95313,             0.92537,             0.97749,             0.76494,             0.71708,             0.55653,              1.1459,           0.0081685,           0.0081685,           0.0081685
                  39,             0.71549,             0.57539,               1.183,             0.90872,             0.95522,             0.96912,             0.75756,             0.69172,             0.52185,              1.1734,            0.008119,            0.008119,            0.008119
                  40,             0.68927,             0.56926,               1.171,             0.95469,             0.94341,               0.973,             0.75819,             0.70445,             0.47586,              1.2423,           0.0080695,           0.0080695,           0.0080695
                  41,             0.70329,             0.56394,              1.1662,             0.95305,             0.90899,             0.96094,             0.69857,             0.81743,              0.5277,              1.3301,             0.00802,             0.00802,             0.00802
                  42,             0.75695,             0.61931,              1.2226,             0.92539,             0.92562,             0.96199,             0.76462,             0.70104,             0.44534,              1.1758,           0.0079705,           0.0079705,           0.0079705
                  43,             0.73062,             0.59777,              1.1826,              0.9105,             0.92537,             0.96384,             0.76645,             0.73164,             0.48789,              1.2598,            0.007921,            0.007921,            0.007921
                  44,             0.67734,             0.56133,              1.1555,             0.94069,             0.94688,              0.9681,             0.75203,             0.64708,             0.50011,              1.1028,           0.0078715,           0.0078715,           0.0078715
                  45,             0.70134,             0.60507,              1.1973,             0.95401,             0.91045,             0.97535,              0.7917,             0.58537,             0.43356,              1.0836,            0.007822,            0.007822,            0.007822
                  46,             0.73973,             0.59271,              1.1797,             0.95486,             0.94728,             0.98316,             0.77206,             0.66568,             0.46739,              1.1817,           0.0077725,           0.0077725,           0.0077725
                  47,             0.69162,             0.59162,              1.1741,             0.96822,             0.90954,             0.97437,              0.7621,             0.68119,             0.46486,              1.2263,            0.007723,            0.007723,            0.007723
                  48,             0.69972,             0.58272,              1.1763,             0.92862,             0.86567,             0.94376,             0.71537,             0.74695,             0.72088,              1.3067,           0.0076735,           0.0076735,           0.0076735
                  49,             0.68949,             0.60027,              1.1903,             0.90429,             0.84617,             0.92288,             0.65012,               1.018,             0.99794,               1.578,            0.007624,            0.007624,            0.007624
                  50,              0.6943,             0.56673,              1.1813,              0.9675,             0.88856,             0.96574,             0.72531,             0.72649,             0.55558,              1.2462,           0.0075745,           0.0075745,           0.0075745
                  51,             0.69632,             0.59012,              1.1626,             0.91092,             0.89552,             0.95388,             0.75286,             0.80787,             0.66501,              1.3242,            0.007525,            0.007525,            0.007525
                  52,             0.69981,             0.59878,                1.18,              0.9606,             0.86567,             0.96153,             0.77152,             0.64471,             0.58352,               1.172,           0.0074755,           0.0074755,           0.0074755
                  53,              0.6844,             0.57474,              1.1582,             0.95267,             0.90127,             0.96953,             0.76584,             0.69109,             0.47344,              1.1963,            0.007426,            0.007426,            0.007426
                  54,              0.6538,             0.51466,              1.1333,              0.9623,              0.8806,             0.95693,             0.77646,             0.68275,             0.49773,               1.222,           0.0073765,           0.0073765,           0.0073765
                  55,              0.6604,             0.52465,              1.1479,             0.93618,             0.87584,             0.95134,             0.74911,             0.72191,             0.52376,              1.2915,            0.007327,            0.007327,            0.007327
                  56,             0.66876,             0.53278,              1.1572,             0.95659,              0.8806,               0.972,             0.77567,             0.72957,             0.51375,              1.2675,           0.0072775,           0.0072775,           0.0072775
                  57,             0.68849,              0.5527,              1.1751,             0.93766,             0.97015,              0.9821,             0.78216,             0.71981,              0.4364,               1.206,            0.007228,            0.007228,            0.007228
                  58,             0.66717,             0.56389,              1.1586,             0.92585,             0.92537,             0.97252,             0.78057,             0.66578,             0.42487,              1.1865,           0.0071785,           0.0071785,           0.0071785
                  59,             0.66932,             0.54308,               1.146,             0.93915,              0.9215,             0.95252,             0.76039,             0.71757,             0.50796,              1.2345,            0.007129,            0.007129,            0.007129
                  60,             0.68598,              0.5573,              1.1592,                   1,             0.89525,             0.95943,             0.75855,             0.74625,             0.48985,              1.2368,           0.0070795,           0.0070795,           0.0070795
                  61,             0.67399,             0.54517,              1.1619,             0.94169,             0.91045,             0.96564,             0.75928,             0.72788,             0.50384,              1.3023,             0.00703,             0.00703,             0.00703
                  62,             0.68648,             0.53823,              1.1571,             0.97562,             0.92537,             0.97397,             0.80291,             0.69101,             0.46972,               1.217,           0.0069805,           0.0069805,           0.0069805
                  63,             0.67432,             0.52504,              1.1481,             0.98392,             0.92537,             0.97508,             0.79492,             0.62462,             0.40513,              1.1407,            0.006931,            0.006931,            0.006931
                  64,             0.64811,             0.51398,              1.1309,             0.95437,             0.93658,              0.9753,              0.8055,             0.59828,             0.37974,              1.1433,           0.0068815,           0.0068815,           0.0068815
                  65,             0.66921,             0.53758,              1.1302,             0.93847,             0.98507,             0.98678,             0.81774,             0.60239,             0.39606,              1.1368,            0.006832,            0.006832,            0.006832
                  66,             0.66375,             0.55538,              1.1644,             0.95438,             0.93683,             0.97673,             0.80862,             0.60398,             0.42121,              1.1197,           0.0067825,           0.0067825,           0.0067825
                  67,             0.61803,             0.47834,              1.1081,             0.87121,             0.97015,             0.97196,             0.80753,             0.63735,             0.43295,              1.1496,            0.006733,            0.006733,            0.006733
                  68,             0.65719,             0.52103,              1.1638,             0.96765,             0.89296,             0.97536,             0.79068,             0.66553,             0.45096,              1.1973,           0.0066835,           0.0066835,           0.0066835
                  69,             0.63676,             0.51274,              1.1282,             0.97024,             0.89552,             0.95658,             0.70174,             0.80005,             0.51982,              1.2995,            0.006634,            0.006634,            0.006634
                  70,             0.65717,             0.50628,              1.1304,             0.91661,             0.86567,             0.91912,             0.65391,             0.87455,             0.75565,              1.3733,           0.0065845,           0.0065845,           0.0065845
                  71,             0.65598,             0.52215,              1.1466,              0.9565,             0.98451,             0.98717,             0.80725,             0.60617,             0.37248,              1.1123,            0.006535,            0.006535,            0.006535
                  72,             0.62487,             0.52592,              1.1179,             0.97376,             0.95522,             0.98339,             0.80049,             0.56127,             0.35276,              1.0727,           0.0064855,           0.0064855,           0.0064855
                  73,             0.62876,              0.5068,              1.1271,             0.98445,             0.94489,             0.97925,             0.81337,             0.58424,             0.36619,              1.0846,            0.006436,            0.006436,            0.006436
